报告期日期,18-03-31,17-12-31,17-09-30,17-06-30,17-03-31,16-12-31,16-09-30,16-06-30,16-03-31,15-12-31,15-09-30,15-06-30,15-03-31,14-12-31,14-09-30,14-06-30,14-03-31,13-12-31,13-09-30,13-06-30
一年内到期的非流动负债(元),566805013.05,543132095.04,467327219.39,315806384.70,248780463.58,265022929.16,469266286.08,411946114.87,271138032.57,246597416.22,392818354.64,493192249.82,599207502.18,589112602.08,537040799.94,700409000.00,683411442.67,679474981.75,432905730.33,339721029.96
其他流动负债(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,105990000.00,102595000.00,102595000.00,0.00,0.00,46435000.00,50835000.00,50435000.00,0.00,0.00,0.00
流动负债合计(元),5284107216.90,5050128427.48,5217886924.83,4510549810.76,3899882381.53,3696204848.76,3625156873.11,3480339834.07,3179014509.01,3482557720.55,3023022221.84,3025041593.24,3240110119.46,3337240599.84,3487353227.12,3539972354.09,3340492838.17,2793104801.45,2168145499.07,1950155092.98
非流动负债：,,,,,,,,,,,,,,,,,,,,
长期借款(元),1418874299.77,1261769718.14,891429869.84,493835634.32,346287551.18,392351898.97,230608259.12,256313728.95,359628322.00,366213094.45,419314786.85,427515605.48,419995460.76,278644825.15,413900859.70,394805634.80,461081146.07,387156033.09,646511418.27,656225351.46
应付债券(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
长期应付款(元),100000000.00,100000000.00,100000000.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
专项应付款(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
预计负债(元),0.00,0.00,570055.19,570055.19,570055.19,570761.21,610244.97,612203.96,1016584.28,1016584.28,0.00,378439.65,1337032.46,1337032.46,0.00,0.00,0.00,0.00,0.00,0.00
递延所得税负债(元),14794612.66,15301586.14,17562368.23,18092016.85,18621665.45,19151314.06,19683414.01,20215513.97,20755208.81,21279713.91,10513973.99,10708940.71,10990740.43,11295406.92,11605602.61,12035136.44,12787271.55,10065225.50,10329119.90,10593014.32
其他非流动负债(元),79651216.01,92145844.74,75135744.74,73405744.74,73405744.74,79649900.59,82159900.59,82159900.59,81309900.59,92355735.34,61885549.09,66486744.26,70392211.26,74409247.24,53840000.00,53840000.00,53840000.00,77858247.24,54350000.00,54350000.00
非流动负债合计(元),1663520128.44,1531632149.02,1148213038.00,648318451.10,501300016.56,564883874.83,404921818.69,431161347.47,522570015.68,550270127.98,549051385.40,563049447.08,528920444.91,396636511.77,479346462.31,460680771.24,527708417.62,512979505.83,711190538.17,721168365.78
负债合计(元),6947627345.34,6581760576.50,6366099962.83,5158868261.86,4401182398.09,4261088723.59,4030078691.80,3911501181.54,3701584524.69,4032827848.53,3572073607.24,3588091040.32,3769030564.37,3733877111.61,3966699689.43,4000653125.33,3868201255.79,3306084307.28,2879336037.24,2671323458.76
所有者权益(或股东权益)：,,,,,,,,,,,,,,,,,,,,
实收资本(或股本)(元),1577205702.00,1577205702.00,1411464322.00,1411464322.00,1411464322.00,1411464322.00,1411464322.00,705732161.00,705732161.00,705732161.00,705732161.00,705732161.00,697227161.00,697227161.00,697227161.00,697227161.00,688482161.00,666248700.00,666248700.00,666248700.00
资本公积金(元),1135405873.36,1134884345.92,114421054.34,277240299.40,278347587.46,278104830.51,280939284.54,984854460.90,1218617009.29,1211095761.66,1194647140.61,1193456103.81,1125574041.86,1124532368.37,1127411409.87,1127760758.89,1053375001.97,749654450.47,730467137.70,734711323.39
减：库存股(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
盈余公积金(元),306963861.18,306963861.18,278320595.10,278320595.10,278320595.10,278320595.10,255470015.90,255470015.90,255470015.90,255470015.90,230592948.80,230592948.80,230592948.80,230592948.80,192908371.12,192908371.12,192908371.12,192908371.12,163072774.36,163072774.36
一般风险准备(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
未分配利润(元),2589990704.75,2411599343.24,2365910302.21,2239417213.35,2250526548.26,2074268447.78,2153097082.26,2204366346.31,2070478990.10,1934975969.16,2023345542.98,1687889772.92,1690120563.54,1557980890.20,1547628908.77,1410579770.01,1392396760.94,1266602748.66,1218053838.99,1114678692.03
外币报表折算差额(元),0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,4128420.71,3840511.53,3680592.84,0.00,4009207.40,3799781.33
少数股东权益(元),252994734.30,230981096.65,242339989.04,174006978.92,122002193.92,121261423.78,105040603.95,111313735.28,262617463.35,279474842.49,218650640.03,240494463.56,230679391.63,227615681.19,204558701.11,219595224.20,231440611.05,241078193.49,225741865.19,246918624.25
归属于母公司所有者权益合计(元),5612215466.54,5438016004.66,4172774283.65,4210591220.56,4219941859.76,4047094193.47,4103917324.84,4153524751.70,4252573793.21,4108269254.27,4156982805.43,3823754285.06,3748421668.47,3615275630.32,3569304271.47,3432316572.55,3330842887.87,2879340391.29,2781851658.45,2682511271.11
所有者权益合计(元),5865210200.84,5668997101.31,4415114272.69,4384598199.48,4341944053.68,4168355617.25,4208957928.79,4264838486.98,4515191256.56,4387744096.76,4375633445.46,4064248748.62,3979101060.10,3842891311.51,3773862972.58,3651911796.75,3562283498.92,3120418584.78,3007593523.64,2929429895.36
负债和所有者权益总计(元),12812837546.18,12250757677.81,10781214235.52,9543466461.34,8743126451.77,8429444340.84,8239036620.59,8176339668.52,8216775781.25,8420571945.29,7947707052.70,7652339788.94,7748131624.47,7576768423.12,7740562662.01,7652564922.08,7430484754.71,6426502892.06,5886929560.88,5600753354.12
