,code,name,eps,eps_yoy,bvps,roe,epcf,net_profits,profits_yoy,distrib,report_date
3052,000062,深圳华强,0.57,-3.18,,10.17,,41226.95,-3.19,10派3.5,03-23
3053,300635,达安股份,0.41,-52.87,,9.91,,5167.84,-6.07,,03-23
3054,300001,特锐德,0.28,12.0,,9.8,,27831.76,10.65,,03-23
3055,601857,中国石油,0.12,200.0,,1.9,,2279300.0,188.52,,03-23
3056,600052,浙江广厦,0.22,-46.34,,8.62,,18859.22,-47.24,,03-23
3057,600873,梅花生物,0.38,11.76,,13.14,,117360.68,12.66,10派3.3,03-23
3058,300534,陇神戎发,0.06,-91.59,,2.42,,1711.22,-63.79,,03-23
3059,002584,西陇科学,0.15,-11.76,,5.24,,8984.57,-7.17,,03-23
3060,603288,海天味业,1.31,24.76,,31.12,,353143.69,24.21,,03-23
3061,600719,大连热电,0.01,-75.3,,0.46,,335.68,-75.31,10派0.03,03-23
3062,601619,嘉泽新能,0.09,15.12,,7.33,,16496.28,20.44,,03-23
3063,600823,世茂股份,0.59,-25.32,,10.64,,222527.13,5.02,10派0.6,03-23
3064,000812,陕西金叶,0.06,-23.18,,2.88,,2717.13,-22.2,10派0.3送1转4,03-23
3065,600095,哈高科,0.06,36.15,,2.86,,2094.13,36.18,10派0.18,03-23
3066,603859,能科股份,0.34,-28.76,,5.82,,3814.82,-10.0,,03-23
3067,000877,天山股份,0.3,165.43,,4.33,,26492.52,165.5,10派0.8,03-23
3068,300304,云意电气,0.16,-68.63,,8.63,,14125.72,28.35,,03-23
3069,603157,拉夏贝尔,0.98,-9.26,,13.59,,49852.7,-6.29,,03-23
3070,002243,通产丽星,0.12,60.83,,2.85,,4224.33,60.75,,03-23
3071,600221,海航控股,0.18,-13.33,,5.91,,332294.7,5.89,10派0.18,03-23
3072,300024,机器人,0.28,5.24,,7.48,,43237.79,5.26,,03-23
3073,600585,海螺水泥,2.99,85.71,16.87,19.12,3.28,1585467.01,85.87,10派12,03-23
3074,002253,川大智胜,0.2,17.65,,3.52,,4544.48,16.85,,03-23
3075,601600,中国铝业,0.09,350.0,,3.55,,137843.5,242.47,,03-23
3076,600511,国药股份,1.55,35.56,,16.06,,114148.49,108.45,10派4.5,03-23
3077,300034,钢研高纳,0.14,-39.8,,4.38,,5819.21,-39.36,,03-23
3078,000715,中兴商业,0.3,-6.25,,6.78,,8457.69,-4.62,10派0.8,03-23
3079,000810,创维数字,0.09,-81.25,,3.55,,9433.57,-80.61,,03-23
3080,000972,*ST中基,0.05,-115.17,,4.28,,3668.99,-114.44,,03-23
3081,002108,沧州明珠,0.5,-36.72,,18.58,,54528.0,11.89,,03-23
3082,000401,冀东水泥,0.08,110.26,,1.1,,11038.33,108.72,,03-23
3083,600358,国旅联合,0.06,-119.57,,6.15,,3230.68,-119.81,,03-23
3084,600873,梅花生物,0.38,11.76,,13.14,,117360.68,12.66,10派3.3,03-23
3085,300534,陇神戎发,0.06,-91.59,,2.42,,1711.22,-63.79,,03-23
3086,000062,深圳华强,0.57,-3.18,,10.17,,41226.95,-3.19,10派3.5,03-23
3087,300635,达安股份,0.41,-52.87,,9.91,,5167.84,-6.07,,03-23
3088,300001,特锐德,0.28,12.0,,9.8,,27831.76,10.65,,03-23
3089,601857,中国石油,0.12,200.0,,1.9,,2279300.0,188.52,,03-23
3090,600052,浙江广厦,0.22,-46.34,,8.62,,18859.22,-47.24,,03-23
3091,002584,西陇科学,0.15,-11.76,,5.24,,8984.57,-7.17,,03-23
3092,600030,中信证券,0.94,9.3,,7.82,,1143326.45,10.3,10派4,03-23
3093,000965,天保基建,0.41,41.38,,8.36,,41085.96,41.37,10派0.1转1,03-22
3094,002080,中材科技,0.95,80.25,,9.23,,76728.37,91.15,,03-22
3095,603881,数据港,0.56,12.0,,14.18,,11489.53,46.87,,03-22
3096,000712,锦龙股份,0.22,-46.34,,5.24,,19428.32,-46.85,10派1,03-22
3097,600328,兰太实业,0.48,148.96,,10.02,,21047.89,152.74,10派1.46,03-22
3098,600720,祁连山,0.74,244.97,,11.24,,57469.18,245.0,10派2.3,03-22
3099,600736,苏州高新,0.48,84.62,,10.22,,60626.08,97.41,10派1.45,03-22
3100,600502,安徽水利,0.6,76.47,,12.45,,78133.97,155.64,10派0.5送2,03-22
3101,601588,北辰实业,0.34,88.89,,9.41,,114041.07,89.88,,03-22
3102,601882,海天精工,0.2,51.29,,9.2,,10292.44,62.66,,03-22
3103,002706,良信电器,0.41,-36.92,,13.16,,21020.01,29.6,,03-22
3104,000557,西部创业,0.06,900.0,,2.19,,8699.48,943.17,,03-22
3105,002662,京威股份,0.25,-70.59,,6.69,,31672.38,-50.16,,03-22
3106,000028,国药一致,2.47,-11.79,,11.91,,105779.19,-10.86,10派3,03-22
3107,002463,沪电股份,0.12,55.9,,5.97,,20351.77,55.95,,03-22
3108,600210,紫江企业,0.37,147.3,,12.96,,55480.3,147.81,10派1.5,03-22
3109,600420,现代制药,0.46,-52.61,,8.78,,51580.26,8.15,,03-22
3110,600575,皖江物流,0.08,-33.33,,3.92,,31991.67,-32.33,,03-22
3111,000856,冀东装备,0.07,-30.0,,5.18,,1554.18,-32.79,,03-22
3112,600271,航天信息,0.84,1.29,,16.16,,155657.25,1.34,,03-22
3113,601518,吉林高速,0.24,50.0,,10.71,,29668.67,54.57,,03-22
3114,000619,海螺型材,0.03,-88.1,,0.37,,903.15,-88.11,,03-22
3115,600459,贵研铂业,0.46,43.75,,6.3,,11932.8,43.73,,03-22
3116,000862,银星能源,-0.27,-1435.0,,-7.04,,-18861.37,-1809.98,,03-22
3117,300659,中孚信息,0.67,-15.19,,16.56,,4861.76,0.55,,03-22
3118,300105,龙源技术,0.03,-109.7,,0.71,,1598.64,-109.72,,03-22
3119,002393,力生制药,0.64,1.59,,3.83,,11681.72,1.05,,03-22
3120,000965,天保基建,0.41,41.38,,8.36,,41085.96,41.37,10派0.1转1,03-22
3121,600502,安徽水利,0.6,76.47,,12.45,,78133.97,155.64,10派0.5送2,03-22
3122,603881,数据港,0.56,12.0,,14.18,,11489.53,46.87,,03-22
3123,000712,锦龙股份,0.22,-46.34,,5.24,,19428.32,-46.85,10派1,03-22
3124,600328,兰太实业,0.48,148.96,,10.02,,21047.89,152.74,10派1.46,03-22
3125,600720,祁连山,0.74,244.97,,11.24,,57469.18,245.0,10派2.3,03-22
3126,600736,苏州高新,0.48,84.62,,10.22,,60626.08,97.41,10派1.45,03-22
3127,600508,上海能源,0.72,16.13,,5.95,,51890.11,14.89,10派2.2,03-21
3128,603167,渤海轮渡,0.75,63.04,,11.67,,36267.19,63.04,,03-21
3129,000868,安凯客车,-0.33,-571.43,,-19.1,,-23015.27,-548.2,,03-21
3130,603969,银龙股份,0.3,-16.67,,7.42,,11825.21,-18.36,,03-21
3131,601069,西部黄金,0.03,-82.76,,1.29,,2181.0,-82.77,,03-21
3132,300052,中青宝,0.19,-200.0,,4.4,,5029.67,-201.14,,03-21
3133,002667,鞍重股份,0.17,-200.0,,3.1,,2316.15,-199.74,,03-21
3134,300509,新美星,0.74,-8.64,,10.04,,5929.36,-0.5,,03-21
3135,603301,振德医疗,1.62,45.95,,24.43,2.43,12176.91,46.99,,03-21
3136,000911,南宁糖业,-0.6,-1100.0,,-12.88,,-19305.26,-1117.14,,03-21
3137,600315,上海家化,0.58,81.25,,7.16,,38980.19,80.45,10派1.8,03-21
3138,601898,中煤能源,0.18,20.0,,2.76,,241442.6,19.14,,03-21
3139,002404,嘉欣丝绸,0.21,10.53,,8.61,,11177.69,12.25,,03-21
3140,002728,特一药业,0.53,12.77,,11.4,,10634.28,12.2,,03-21
3141,000537,广宇发展,1.29,92.54,,27.56,,217179.14,528.96,10派1.3,03-21
3142,000897,津滨发展,-0.07,-353.61,,-9.63,,-11935.91,-353.65,,03-21
3143,600053,九鼎投资,0.75,-48.43,,17.2,,32384.65,-48.43,,03-21
3144,600683,京投发展,0.43,10.26,,14.29,,32174.7,10.77,10派2,03-21
3145,000948,南天信息,0.09,6.2,,1.51,,2198.45,6.26,10派0.2,03-21
3146,000416,民生控股,0.05,63.58,,3.12,,2721.38,63.52,10派0.5,03-21
3147,600688,上海石化,0.57,3.09,2.61,20.84,0.66,614155.8,3.12,10派3,03-21
3148,600418,江淮汽车,0.23,-68.06,,3.12,,43189.18,-62.83,10派0.7,03-21
3149,601318,中国平安,4.99,42.57,25.89,20.72,6.8,8908800.0,42.78,10派10,03-21
3150,600323,瀚蓝环境,0.85,28.79,,12.85,,65223.63,28.25,10派2,03-21
3151,600808,马钢股份,0.54,235.96,,18.92,,412893.99,235.99,10派1.65,03-21
3152,601336,新华保险,1.73,9.49,20.42,8.76,2.52,538300.0,8.92,10派5.2,03-21
3153,000565,渝三峡A,0.19,-63.46,,8.01,,8112.54,-63.7,10派0.2,03-21
3154,600299,安迪苏,0.49,-30.0,,10.51,,132331.58,-29.06,10派1.73,03-21
3155,600335,国机汽车,0.65,2.92,,9.29,,67046.19,9.22,10派1,03-21
3156,300436,广生堂,0.24,-49.24,,6.43,,3356.53,-49.46,,03-21
3157,002449,国星光电,0.75,86.76,,11.9,,35913.39,86.74,,03-21
3158,600017,日照港,0.12,100.0,,3.51,,36887.56,109.3,,03-20
3159,300446,乐凯新材,0.85,-3.33,,19.77,,10437.88,-3.33,,03-20
3160,600982,宁波热电,0.13,14.32,,3.9,,9598.99,14.29,10派0.4,03-20
3161,600136,当代明诚,0.26,4.0,,5.21,,12813.13,4.87,10派0.7,03-20
3162,002729,好利来,0.34,6.25,,5.55,,2277.56,6.4,,03-20
3163,600217,中再资环,0.16,42.96,,15.06,,21758.61,45.49,,03-20
3164,603345,安井食品,0.98,-10.09,,13.28,,20243.24,14.11,10派2.82,03-20
3165,002362,汉王科技,0.2,102.81,,5.47,,4325.49,102.89,,03-20
3166,002717,岭南股份,1.23,83.58,,17.51,,50928.2,95.27,,03-20
3167,300122,智飞生物,0.27,1250.0,,15.85,,43227.54,1229.25,,03-20
3168,600898,国美通讯,0.05,-23.09,,3.29,,1244.67,-23.14,,03-20
3169,600239,云南城投,0.16,-30.43,,5.44,,26401.44,8.14,10派0.5,03-20
3170,300046,台基股份,0.38,38.52,,6.55,,5338.78,38.51,,03-20
3171,002206,海利得,0.26,-51.85,,11.21,,31376.23,22.99,,03-20
3172,603333,明星电缆,0.03,-120.0,,1.2,,1688.32,-121.76,,03-20
3173,300014,亿纬锂能,0.47,-20.34,,18.83,,40336.48,60.18,,03-20
3174,002820,桂发祥,0.72,-22.58,,9.21,,9260.48,0.91,,03-20
3175,600761,安徽合力,0.55,-14.06,,9.26,,40791.15,3.09,10派5,03-20
3176,300563,神宇股份,0.5,-13.79,,9.18,,3976.02,10.45,,03-20
3177,603612,索通发展,2.66,442.86,,29.69,,54776.78,516.06,,03-20
3178,603027,千禾味业,0.45,-32.64,,15.21,,14405.94,43.93,,03-20
3179,002796,世嘉科技,0.32,-52.94,,5.29,,2569.25,-47.15,,03-20
3180,300563,神宇股份,0.5,-13.79,,9.18,,3976.02,10.45,,03-20
3181,603612,索通发展,2.66,442.86,,29.69,,54776.78,516.06,,03-20
3182,600761,安徽合力,0.55,-14.06,,9.26,,40791.15,3.09,10派5,03-20
3183,603027,千禾味业,0.45,-32.64,,15.21,,14405.94,43.93,,03-20
3184,002796,世嘉科技,0.32,-52.94,,5.29,,2569.25,-47.15,,03-20
3185,600590,泰豪科技,0.38,100.0,,6.53,,25193.47,103.45,10派1.2送3,03-20
3186,300260,新莱应材,0.11,-9.69,,3.24,,2158.1,77.04,,03-20
3187,600845,宝信软件,0.54,26.57,,9.86,,42527.61,26.7,10派1.7,03-20
3188,300491,通合科技,0.07,-86.27,,2.62,,1071.75,-73.88,,03-20
3189,600293,三峡新材,0.35,-5.52,,11.31,,40375.24,125.05,10派1.04,03-20
3190,600738,兰州民百,0.18,8.28,,8.42,,14344.61,129.74,10派1,03-20
3191,600567,山鹰纸业,0.44,388.89,,21.54,,201451.83,471.0,10派1.33,03-20
3192,603208,江山欧派,1.78,-1.11,,15.89,,13752.98,25.76,,03-20
3193,603396,金辰股份,1.27,10.19,,14.98,,7616.61,16.48,,03-20
3194,000507,珠海港,0.18,34.92,,5.25,,14060.8,34.92,10派0.36,03-20
3195,002301,齐心集团,0.33,17.86,,6.4,,14007.18,33.54,,03-20
3196,300178,腾邦国际,0.5,50.92,,13.77,,28373.13,59.14,,03-20
3197,002038,双鹭药业,0.78,18.03,,13.03,,53357.54,18.02,,03-20
3198,300394,天孚通信,0.6,-8.51,,14.39,,11123.47,-8.51,,03-20
3199,002519,银河电子,0.16,-69.23,,5.0,,18728.66,-39.58,,03-20
3200,300690,双一科技,1.91,-7.73,,19.45,,11054.75,2.64,,03-20
3201,000629,*ST钒钛,0.1,-114.42,,22.34,,86328.2,-114.42,,03-20
3202,600814,杭州解百,0.25,-7.41,,7.96,,18026.3,-7.9,10派0.8,03-20
3203,002075,沙钢股份,0.32,219.0,,23.01,,70480.16,220.37,,03-20
3204,600114,东睦股份,0.72,56.52,,12.48,,30010.19,70.65,10派3,03-20
3205,600963,岳阳林纸,0.28,833.33,,5.16,,34773.83,1131.86,,03-20
3206,600710,苏美达,0.27,35.0,,9.32,,35809.96,73.28,10派0.42,03-20
3207,600497,驰宏锌锗,0.26,-164.22,,11.88,,115518.3,-169.89,10派0.3,03-20
3208,600176,中国巨石,0.74,17.78,,18.38,,214984.94,41.34,10派2.5转2,03-20
3209,000850,华茂股份,0.11,10.0,,2.19,,10403.35,5.54,10派0.5,03-20
3210,002863,今飞凯达,0.3,-31.82,,7.69,,6087.65,-16.74,,03-20
3211,603368,柳药股份,2.17,-7.26,,12.04,,40138.0,25.04,,03-20
3212,601200,上海环境,0.72,9.12,,9.83,,50594.75,8.79,,03-20
3213,600322,天房发展,0.2,-158.03,,5.11,,21812.58,-157.89,,03-20
3214,002523,天桥起重,0.12,-7.69,,6.18,,11684.61,9.22,,03-19
3215,300131,英唐智控,0.13,-31.58,,7.65,,14300.32,-29.01,,03-19
3216,002870,香山股份,0.72,-42.4,,24.47,,7148.96,-31.34,,03-19
3217,600433,冠豪高新,0.04,-55.56,,2.09,,5279.02,-51.36,10派0.13,03-19
3218,600655,豫园股份,0.49,46.25,,6.48,,70024.18,46.24,10派1.5,03-19
3219,603897,长城科技,1.33,49.44,5.96,25.05,0.53,17742.29,55.84,,03-19
3220,603596,伯特利,0.75,1.35,2.99,29.02,0.17,27700.33,1.72,,03-19
3221,600199,金种子酒,0.01,-66.67,,0.36,,818.98,-51.88,10派0.1,03-17
3222,000608,阳光股份,0.2,-132.26,,5.23,,15236.5,-132.54,10派0.3,03-17
3223,002507,涪陵榨菜,0.52,6.12,,23.76,,41414.22,61.0,,03-17
3224,600316,洪都航空,0.04,177.92,,0.6,,3068.05,177.89,10派0.13,03-17
3225,000848,承德露露,0.42,-8.7,,21.52,,41359.79,-8.16,10派5,03-17
3226,600787,中储股份,0.61,74.29,,13.35,,133778.06,74.32,10派0.61,03-17
3227,000786,北新建材,1.31,65.32,,20.66,,234398.54,100.16,10派3.55,03-17
3228,600372,中航电子,0.31,17.84,,8.57,,54243.95,17.82,10派0.6,03-17
3229,300143,星普医科,0.43,95.45,,5.22,,12239.62,122.21,,03-17
3230,600660,福耀玻璃,1.26,0.8,,17.16,,314874.8,0.14,10派7.5,03-17
